Order ID,Order Date,Ship Mode,Segment,Region,Category,Product Name,Sales,Quantity,Profit
ORD-000033,2024-10-05,Standard Class,Government,Africa,Furniture,Wireless Noise Cancelling Headphones,1079,6,214
ORD-000034,2024-02-07,Standard Class,Home Office,South America,Office Supplies,USB-C Hub 7-in-1,958,1,345
ORD-000035,2024-10-09,Second Class,Small Business,Middle East,Furniture,"Laptop Pro 14""",1941,8,428
ORD-000036,2025-02-27,Standard Class,Education,Middle East,Electronics,"Laptop Pro 14""",2184,4,387
ORD-000037,2024-06-21,Second Class,Small Business,Africa,Accessories,"Tablet Air 11""",871,5,225
ORD-000038,2024-12-14,Second Class,Consumer,Europe,Electronics,Smartphone Ultra,783,7,98
ORD-000039,2024-07-17,First Class,Education,Middle East,Office Supplies,Phone Case MagSafe,696,3,60
ORD-000040,2024-10-29,First Class,Corporate,Middle East,Furniture,Privacy Screen Protector,2229,4,786
ORD-000041,2024-11-19,Second Class,Consumer,Middle East,Accessories,"Tablet Air 11""",2449,6,385
ORD-000042,2024-05-30,Second Class,Corporate,North America,Accessories,Privacy Screen Protector,1226,8,126
ORD-000043,2024-03-29,Same Day,Consumer,South America,Accessories,Privacy Screen Protector,2397,7,561
ORD-000044,2025-12-18,Standard Class,Consumer,Asia Pacific,Gadgets,4K Webcam,956,8,112
ORD-000045,2024-07-27,Standard Class,Education,Middle East,Accessories,Wireless Noise Cancelling Headphones,2414,8,565
ORD-000046,2025-03-12,Same Day,Corporate,Europe,Furniture,Bluetooth Speaker,1114,3,219
ORD-000047,2024-06-06,Same Day,Education,Africa,Furniture,Fitness Tracker Band,913,8,326
ORD-000048,2024-02-17,Same Day,Corporate,North America,Accessories,Standing Desk Frame,1737,3,385
ORD-000049,2025-05-12,Second Class,Home Office,Europe,Accessories,"Tablet Air 11""",379,4,97
ORD-000050,2024-05-10,Second Class,Government,Middle East,Office Supplies,Fitness Tracker Band,736,2,296
ORD-000051,2024-05-31,First Class,Government,South America,Electronics,Bluetooth Speaker,950,8,388
ORD-000052,2024-02-29,Same Day,Small Business,Europe,Electronics,Wireless Charger Pad,2040,1,725
ORD-000053,2024-10-01,Same Day,Small Business,Europe,Office Supplies,"Monitor 27"" 4K",565,7,102
ORD-000054,2024-06-12,Express,Education,Europe,Accessories,Gaming Mouse RGB,2128,4,893
ORD-000055,2025-05-13,Second Class,Small Business,Asia Pacific,Accessories,Ergonomic Desk Chair,2245,1,190
ORD-000056,2025-05-17,Same Day,Consumer,Middle East,Electronics,Smart Watch Series 5,2471,6,759
ORD-000057,2024-12-03,First Class,Home Office,Africa,Electronics,"Monitor 27"" 4K",2480,6,1035
ORD-000058,2024-06-05,Same Day,Home Office,Middle East,Electronics,"Monitor 27"" 4K",1648,5,698
ORD-000059,2024-12-09,First Class,Corporate,North America,Electronics,Wireless Charger Pad,444,8,85
ORD-000060,2025-04-21,Express,Government,Middle East,Accessories,Standing Desk Frame,1608,4,687
ORD-000061,2025-04-14,Standard Class,Corporate,Middle East,Gadgets,Laptop Cooling Stand,429,6,36
ORD-000062,2025-10-23,Same Day,Consumer,North America,Accessories,Phone Case MagSafe,2347,1,850
ORD-000063,2024-06-14,Standard Class,Government,South America,Gadgets,"Monitor 27"" 4K",108,5,34
ORD-000064,2025-09-25,Second Class,Education,Europe,Office Supplies,Smartphone Ultra,2203,4,823
ORD-000065,2024-09-06,First Class,Corporate,Europe,Accessories,Smart Home Hub,1781,8,351
ORD-000066,2024-10-05,Express,Corporate,South America,Gadgets,Bluetooth Speaker,1339,5,443
ORD-000067,2025-01-21,Standard Class,Small Business,Europe,Accessories,Fitness Tracker Band,1405,1,550
ORD-000068,2024-12-28,Same Day,Government,Africa,Gadgets,USB-C Hub 7-in-1,2317,3,431
ORD-000069,2025-01-02,First Class,Corporate,South America,Gadgets,USB-C Hub 7-in-1,1416,1,315
ORD-000070,2024-04-10,Second Class,Corporate,Africa,Gadgets,External SSD 1TB,2113,1,727
ORD-000071,2025-10-31,Same Day,Small Business,Africa,Office Supplies,Smart Home Hub,821,7,94
ORD-000072,2024-04-28,Standard Class,Consumer,Europe,Office Supplies,Bluetooth Speaker,808,5,112
ORD-000073,2025-04-17,Standard Class,Home Office,Europe,Electronics,Laptop Cooling Stand,686,1,275
ORD-000074,2025-11-17,Same Day,Consumer,Middle East,Furniture,"Laptop Pro 14""",262,2,44
ORD-000075,2025-01-03,Express,Education,Middle East,Accessories,"Laptop Pro 14""",1727,4,222
ORD-000076,2025-02-03,Same Day,Consumer,Asia Pacific,Furniture,Ergonomic Desk Chair,897,4,223
ORD-000077,2024-03-25,Express,Corporate,Middle East,Furniture,Privacy Screen Protector,680,8,188
ORD-000078,2024-06-11,Standard Class,Consumer,Africa,Furniture,External SSD 1TB,1495,7,488
ORD-000079,2024-01-10,First Class,Small Business,Europe,Accessories,Laptop Cooling Stand,813,2,129
ORD-000080,2024-07-26,Same Day,Home Office,Middle East,Furniture,Phone Case MagSafe,176,5,74
ORD-000081,2025-03-15,Second Class,Corporate,Asia Pacific,Gadgets,Privacy Screen Protector,1728,5,537
ORD-000082,2025-03-14,First Class,Education,North America,Office Supplies,Laptop Cooling Stand,587,3,96
ORD-000083,2025-12-21,Same Day,Home Office,Middle East,Furniture,Fitness Tracker Band,213,6,68
ORD-000084,2025-08-16,First Class,Home Office,Europe,Accessories,Smart Watch Series 5,513,3,205
ORD-000085,2024-02-14,Second Class,Government,Middle East,Office Supplies,Privacy Screen Protector,622,7,221
ORD-000086,2025-11-20,Express,Home Office,South America,Furniture,Laptop Cooling Stand,575,4,184
ORD-000087,2025-04-24,Second Class,Home Office,Europe,Furniture,External SSD 1TB,962,7,396
ORD-000088,2025-04-10,Second Class,Consumer,South America,Furniture,Phone Case MagSafe,166,6,42
ORD-000089,2025-05-13,First Class,Home Office,Asia Pacific,Accessories,Smartphone Ultra,1843,1,645
ORD-000090,2025-07-03,Second Class,Small Business,Middle East,Accessories,USB-C Hub 7-in-1,297,2,73
ORD-000091,2024-08-17,Same Day,Education,Asia Pacific,Accessories,USB-C Hub 7-in-1,1996,1,260
ORD-000092,2025-02-25,Second Class,Consumer,Asia Pacific,Office Supplies,Fitness Tracker Band,2507,4,260
ORD-000093,2024-04-08,Same Day,Government,North America,Gadgets,"Tablet Air 11""",2012,2,415
ORD-000094,2025-05-12,First Class,Consumer,Africa,Furniture,Smartphone Ultra,1716,5,365
ORD-000095,2025-03-02,First Class,Education,Africa,Gadgets,External SSD 1TB,1538,7,427
ORD-000096,2025-08-03,Second Class,Home Office,Africa,Furniture,Wireless Noise Cancelling Headphones,166,2,56
ORD-000097,2024-11-18,Same Day,Government,Middle East,Electronics,External SSD 1TB,1521,2,245
ORD-000098,2024-01-27,Second Class,Small Business,Asia Pacific,Accessories,Wireless Noise Cancelling Headphones,2086,5,869
ORD-000099,2024-05-15,Same Day,Consumer,Africa,Gadgets,Phone Case MagSafe,1944,2,801
ORD-000100,2024-12-13,Second Class,Corporate,Africa,Furniture,Bluetooth Speaker,1490,4,493
ORD-000101,2024-04-30,Same Day,Small Business,Africa,Electronics,Privacy Screen Protector,74,2,26
ORD-000102,2025-01-30,First Class,Consumer,Middle East,Accessories,4K Webcam,1439,3,135
ORD-000103,2024-10-03,Standard Class,Government,Asia Pacific,Furniture,Gaming Mouse RGB,226,5,78
ORD-000104,2024-06-29,Standard Class,Home Office,Middle East,Office Supplies,"Tablet Air 11""",121,2,45
ORD-000105,2024-07-27,Standard Class,Government,South America,Electronics,External SSD 1TB,1390,6,205
ORD-000106,2025-04-16,Standard Class,Small Business,North America,Electronics,Standing Desk Frame,2305,1,273
ORD-000107,2025-09-13,Same Day,Government,South America,Accessories,Standing Desk Frame,157,7,64
ORD-000108,2024-12-17,Second Class,Education,Middle East,Furniture,"Monitor 27"" 4K",1703,5,630
ORD-000109,2024-08-27,Express,Corporate,Middle East,Gadgets,"Monitor 27"" 4K",937,8,257
ORD-000110,2025-01-16,Second Class,Home Office,Europe,Gadgets,Smart Watch Series 5,1149,8,449
ORD-000111,2024-07-24,Second Class,Education,North America,Gadgets,Smart Watch Series 5,571,2,195
ORD-000112,2024-10-16,Second Class,Education,South America,Gadgets,Ergonomic Desk Chair,522,2,218
ORD-000113,2024-12-14,Express,Home Office,Asia Pacific,Furniture,4K Webcam,2540,2,927
ORD-000114,2025-10-30,Same Day,Corporate,South America,Furniture,"Tablet Air 11""",904,7,290
ORD-000115,2024-07-07,Same Day,Home Office,North America,Gadgets,Wireless Charger Pad,320,5,29
ORD-000116,2025-03-22,Same Day,Small Business,Asia Pacific,Gadgets,Wireless Charger Pad,2045,4,725
ORD-000117,2024-09-24,Second Class,Government,South America,Office Supplies,Smartphone Ultra,1966,1,605
ORD-000118,2024-03-10,Express,Consumer,Asia Pacific,Accessories,Ergonomic Desk Chair,755,7,289
ORD-000119,2025-01-22,Standard Class,Home Office,Asia Pacific,Gadgets,USB-C Hub 7-in-1,1969,4,708
ORD-000120,2025-09-15,Second Class,Consumer,Africa,Furniture,Bluetooth Speaker,1902,6,173
ORD-000121,2025-01-19,Second Class,Education,Africa,Gadgets,"Laptop Pro 14""",1852,4,586
ORD-000122,2024-05-27,Express,Home Office,North America,Gadgets,External SSD 1TB,1576,8,555
ORD-000123,2024-09-25,Same Day,Government,Middle East,Accessories,4K Webcam,521,3,106
ORD-000124,2025-11-27,Standard Class,Education,South America,Accessories,Gaming Mouse RGB,716,5,138
ORD-000125,2025-05-30,Same Day,Government,Middle East,Office Supplies,Phone Case MagSafe,362,4,97
ORD-000126,2024-05-18,Standard Class,Corporate,Europe,Electronics,"Tablet Air 11""",523,8,188
ORD-000127,2024-05-18,Standard Class,Consumer,Europe,Office Supplies,Wireless Noise Cancelling Headphones,888,2,138
ORD-000128,2024-05-13,Second Class,Education,Africa,Furniture,Bluetooth Speaker,1328,2,370
ORD-000129,2024-06-10,Standard Class,Corporate,South America,Gadgets,USB-C Hub 7-in-1,1969,5,232
ORD-000130,2025-08-07,Same Day,Government,Africa,Electronics,Smart Home Hub,1492,8,316
ORD-000131,2024-11-14,Second Class,Education,Middle East,Gadgets,USB-C Hub 7-in-1,488,3,160
ORD-000132,2024-11-16,Express,Corporate,North America,Office Supplies,USB-C Hub 7-in-1,963,2,356
ORD-000133,2024-03-20,Standard Class,Small Business,Africa,Gadgets,Fitness Tracker Band,2143,6,628
ORD-000134,2025-02-24,Express,Government,Africa,Furniture,USB-C Hub 7-in-1,2314,6,963
ORD-000135,2025-08-06,Express,Consumer,Asia Pacific,Gadgets,Gaming Mouse RGB,1806,5,631
ORD-000136,2024-03-21,First Class,Consumer,North America,Furniture,"Laptop Pro 14""",1571,3,432
ORD-000137,2024-12-15,First Class,Home Office,Africa,Gadgets,Bluetooth Speaker,1898,5,532
ORD-000138,2025-05-08,First Class,Corporate,Middle East,Gadgets,Mechanical Keyboard,351,3,119
ORD-000139,2024-02-23,Second Class,Consumer,Africa,Furniture,Standing Desk Frame,90,6,30
ORD-000140,2025-03-02,Second Class,Small Business,North America,Gadgets,Fitness Tracker Band,2191,2,438
ORD-000141,2024-08-09,Standard Class,Education,Middle East,Furniture,Fitness Tracker Band,1373,8,182
ORD-000142,2024-07-18,Same Day,Corporate,Africa,Office Supplies,Bluetooth Speaker,1650,6,367
ORD-000143,2024-07-19,Standard Class,Consumer,Asia Pacific,Office Supplies,"Monitor 27"" 4K",486,4,121
ORD-000144,2024-06-27,Second Class,Home Office,North America,Office Supplies,"Monitor 27"" 4K",2074,7,594
ORD-000145,2024-02-17,Second Class,Home Office,Middle East,Gadgets,"Monitor 27"" 4K",1338,8,507
ORD-000146,2025-07-25,Standard Class,Small Business,Africa,Furniture,Wireless Noise Cancelling Headphones,1599,7,179
ORD-000147,2025-01-25,First Class,Education,Africa,Electronics,Smartphone Ultra,2318,6,826
ORD-000148,2025-02-11,Same Day,Education,Asia Pacific,Office Supplies,USB-C Hub 7-in-1,1532,6,310
ORD-000149,2024-02-16,Express,Education,Asia Pacific,Office Supplies,Fitness Tracker Band,1240,7,327
ORD-000150,2025-06-12,First Class,Corporate,North America,Accessories,Wireless Noise Cancelling Headphones,2517,8,503
ORD-000151,2025-10-06,Express,Education,Europe,Electronics,Bluetooth Speaker,2049,3,458
ORD-000152,2025-03-29,Standard Class,Home Office,North America,Gadgets,Mechanical Keyboard,1810,3,449
ORD-000153,2024-04-06,Standard Class,Corporate,South America,Accessories,Fitness Tracker Band,75,6,7
ORD-000154,2024-12-28,Same Day,Corporate,Asia Pacific,Gadgets,Phone Case MagSafe,138,7,24
ORD-000155,2024-03-09,Second Class,Government,Europe,Office Supplies,Bluetooth Speaker,2191,6,598
ORD-000156,2024-08-30,First Class,Consumer,South America,Office Supplies,Ergonomic Desk Chair,272,5,86
ORD-000157,2024-02-29,Same Day,Education,Africa,Gadgets,Smart Home Hub,2077,6,396
ORD-000158,2025-03-20,Express,Corporate,Asia Pacific,Furniture,Wireless Noise Cancelling Headphones,74,6,24
ORD-000159,2025-12-14,Express,Government,Middle East,Accessories,Bluetooth Speaker,941,8,214
ORD-000160,2024-05-02,Standard Class,Education,Middle East,Office Supplies,Phone Case MagSafe,1224,1,366
ORD-000161,2024-04-09,Express,Government,Africa,Accessories,Smart Watch Series 5,319,3,75
ORD-000162,2024-07-21,Second Class,Home Office,Middle East,Accessories,"Tablet Air 11""",390,8,80
ORD-000163,2025-08-24,Second Class,Consumer,South America,Electronics,Ergonomic Desk Chair,2253,3,413
ORD-000164,2024-10-25,Second Class,Education,Europe,Accessories,Wireless Noise Cancelling Headphones,252,7,105
ORD-000165,2025-10-12,Second Class,Education,South America,Electronics,External SSD 1TB,2423,6,806
ORD-000166,2025-06-22,First Class,Home Office,Europe,Office Supplies,"Tablet Air 11""",359,4,79
ORD-000167,2024-11-28,Express,Home Office,Europe,Accessories,Smart Watch Series 5,834,7,154
ORD-000168,2024-06-26,Same Day,Small Business,Europe,Accessories,"Monitor 27"" 4K",2520,2,224
ORD-000169,2025-11-06,First Class,Consumer,North America,Office Supplies,Smart Home Hub,1328,5,427
ORD-000170,2025-10-05,First Class,Small Business,South America,Office Supplies,Smartphone Ultra,1973,6,328
ORD-000171,2025-04-16,Standard Class,Government,Europe,Accessories,Privacy Screen Protector,2087,1,785
ORD-000172,2025-10-01,Same Day,Education,Middle East,Office Supplies,Phone Case MagSafe,62,8,23
ORD-000173,2024-08-27,Express,Consumer,North America,Accessories,Mechanical Keyboard,1471,4,420
ORD-000174,2024-02-12,First Class,Government,Asia Pacific,Furniture,Gaming Mouse RGB,1849,7,720
ORD-000175,2025-01-17,Standard Class,Corporate,South America,Furniture,"Monitor 27"" 4K",609,8,189
ORD-000176,2024-03-21,Standard Class,Education,North America,Furniture,Ergonomic Desk Chair,2354,7,393
ORD-000177,2025-11-04,Same Day,Consumer,South America,Electronics,"Tablet Air 11""",556,3,77
ORD-000178,2024-10-02,Standard Class,Home Office,Asia Pacific,Gadgets,Standing Desk Frame,1407,1,178
ORD-000179,2025-12-26,First Class,Home Office,Asia Pacific,Office Supplies,Privacy Screen Protector,2527,4,826
ORD-000180,2025-03-15,Second Class,Consumer,North America,Electronics,"Tablet Air 11""",2470,5,1053
ORD-000181,2024-05-29,First Class,Corporate,North America,Electronics,Laptop Cooling Stand,2282,4,415
ORD-000182,2025-11-08,Same Day,Consumer,South America,Electronics,Wireless Noise Cancelling Headphones,1780,4,276
ORD-000183,2024-08-26,Express,Education,Middle East,Accessories,Wireless Noise Cancelling Headphones,1228,2,352
ORD-000184,2024-01-07,Second Class,Government,Africa,Gadgets,Smart Watch Series 5,2149,2,409
ORD-000185,2025-08-17,Same Day,Consumer,Asia Pacific,Gadgets,Smart Home Hub,1080,2,221
ORD-000186,2025-07-07,Same Day,Small Business,North America,Accessories,Wireless Charger Pad,2536,2,277
ORD-000187,2025-02-24,First Class,Government,North America,Gadgets,Privacy Screen Protector,1594,6,186
ORD-000188,2024-04-04,Same Day,Government,Africa,Accessories,Bluetooth Speaker,1561,2,352
ORD-000189,2025-09-11,First Class,Corporate,Asia Pacific,Accessories,USB-C Hub 7-in-1,1643,8,679
ORD-000190,2025-04-21,Second Class,Education,Africa,Electronics,Phone Case MagSafe,1889,6,240
ORD-000191,2024-05-06,Standard Class,Home Office,North America,Accessories,Ergonomic Desk Chair,1460,1,613
ORD-000192,2025-07-29,Standard Class,Education,Asia Pacific,Furniture,"Laptop Pro 14""",840,3,242
ORD-000193,2025-07-20,First Class,Small Business,Africa,Electronics,Bluetooth Speaker,133,6,27
ORD-000194,2025-09-30,Same Day,Education,Africa,Gadgets,"Laptop Pro 14""",294,8,113
ORD-000195,2024-09-21,Standard Class,Government,Europe,Furniture,Standing Desk Frame,909,4,240
ORD-000196,2025-09-04,First Class,Corporate,Africa,Electronics,Standing Desk Frame,1895,1,204
ORD-000197,2025-12-18,Second Class,Corporate,Asia Pacific,Accessories,"Monitor 27"" 4K",176,8,30
ORD-000198,2025-11-06,Second Class,Education,North America,Office Supplies,4K Webcam,1813,2,417
ORD-000199,2024-11-17,Same Day,Government,Europe,Electronics,USB-C Hub 7-in-1,1133,8,470
ORD-000200,2025-04-06,Second Class,Government,Africa,Gadgets,4K Webcam,566,5,125
ORD-000201,2024-08-11,Express,Home Office,South America,Office Supplies,Ergonomic Desk Chair,1557,5,364
ORD-000202,2024-08-22,First Class,Government,North America,Accessories,Privacy Screen Protector,1711,2,283
ORD-000203,2024-11-30,Standard Class,Corporate,Middle East,Electronics,"Tablet Air 11""",1683,6,356
ORD-000204,2024-08-01,Express,Small Business,Europe,Accessories,Gaming Mouse RGB,665,7,176
ORD-000205,2024-09-10,Express,Government,Asia Pacific,Gadgets,Smart Home Hub,1573,1,425
ORD-000206,2025-05-28,Same Day,Consumer,Africa,Accessories,Wireless Charger Pad,1711,8,334
ORD-000207,2025-10-13,Standard Class,Education,South America,Electronics,Smartphone Ultra,1813,1,752
ORD-000208,2024-10-14,Express,Corporate,Europe,Furniture,Wireless Charger Pad,924,5,349
ORD-000209,2025-02-07,Express,Small Business,North America,Furniture,"Monitor 27"" 4K",186,8,59
ORD-000210,2024-03-19,Second Class,Education,Middle East,Accessories,External SSD 1TB,2041,3,385
ORD-000211,2025-06-28,Express,Home Office,Africa,Gadgets,Gaming Mouse RGB,1074,6,200
ORD-000212,2025-10-26,First Class,Education,Africa,Electronics,Phone Case MagSafe,2360,1,321
ORD-000213,2025-06-17,Standard Class,Consumer,Africa,Electronics,Gaming Mouse RGB,366,3,38
ORD-000214,2024-06-11,Standard Class,Consumer,South America,Gadgets,Privacy Screen Protector,1602,6,424
ORD-000215,2024-02-13,Standard Class,Home Office,Middle East,Electronics,External SSD 1TB,369,2,154
ORD-000216,2024-08-05,Express,Government,Europe,Office Supplies,Smart Watch Series 5,2156,8,174
ORD-000217,2024-02-21,First Class,Small Business,Middle East,Furniture,Ergonomic Desk Chair,129,4,31
ORD-000218,2025-06-10,Standard Class,Home Office,South America,Electronics,Wireless Charger Pad,2430,7,198
ORD-000219,2024-07-01,Standard Class,Education,North America,Gadgets,Smart Watch Series 5,1399,3,555
ORD-000220,2024-11-21,Second Class,Government,Europe,Electronics,Privacy Screen Protector,966,8,154
ORD-000221,2024-06-18,Express,Education,Asia Pacific,Office Supplies,Privacy Screen Protector,2028,7,706
ORD-000222,2025-11-06,Same Day,Education,North America,Electronics,Smartphone Ultra,1471,3,390
ORD-000223,2024-06-05,Second Class,Government,Africa,Electronics,Gaming Mouse RGB,1549,4,632
ORD-000224,2024-05-12,First Class,Small Business,Africa,Office Supplies,Smartphone Ultra,177,3,18
ORD-000225,2025-03-17,Standard Class,Corporate,Asia Pacific,Office Supplies,"Laptop Pro 14""",702,5,206
ORD-000226,2024-06-07,Express,Education,South America,Electronics,Phone Case MagSafe,690,4,244
ORD-000227,2024-12-12,Same Day,Corporate,Africa,Accessories,Mechanical Keyboard,1186,2,384
ORD-000228,2025-05-17,Same Day,Small Business,North America,Furniture,Ergonomic Desk Chair,1751,1,297
ORD-000229,2024-01-29,Express,Government,North America,Gadgets,Ergonomic Desk Chair,923,4,207
ORD-000230,2025-09-07,Same Day,Small Business,Europe,Office Supplies,"Tablet Air 11""",2177,5,797
ORD-000231,2024-03-18,First Class,Small Business,Africa,Electronics,Phone Case MagSafe,2022,7,513
ORD-000232,2024-10-09,First Class,Home Office,Asia Pacific,Accessories,Smartphone Ultra,2340,6,810
ORD-000233,2025-06-18,Standard Class,Home Office,South America,Gadgets,External SSD 1TB,1582,4,589
ORD-000234,2024-01-20,Express,Corporate,South America,Gadgets,4K Webcam,1345,8,432
ORD-000235,2025-07-06,Express,Home Office,Middle East,Electronics,Wireless Charger Pad,1366,8,255
ORD-000236,2025-02-20,Second Class,Education,South America,Accessories,Fitness Tracker Band,1717,1,650
ORD-000237,2025-02-04,Standard Class,Consumer,North America,Office Supplies,"Laptop Pro 14""",1277,5,267
ORD-000238,2025-11-24,Express,Consumer,Africa,Electronics,"Tablet Air 11""",417,4,152
ORD-000239,2025-08-21,Standard Class,Corporate,North America,Accessories,Smart Home Hub,1963,7,789
ORD-000240,2025-04-12,Same Day,Government,South America,Furniture,External SSD 1TB,2311,6,312
ORD-000241,2025-03-28,Second Class,Corporate,Europe,Office Supplies,Smart Watch Series 5,1051,7,101
ORD-000242,2025-07-30,Standard Class,Education,South America,Electronics,Smart Home Hub,2498,6,325
ORD-000243,2025-11-20,Same Day,Corporate,Middle East,Gadgets,"Monitor 27"" 4K",1848,7,251
ORD-000244,2025-01-30,Second Class,Education,South America,Furniture,"Monitor 27"" 4K",961,8,216
ORD-000245,2025-12-18,Express,Corporate,Asia Pacific,Electronics,"Monitor 27"" 4K",2099,1,717
ORD-000246,2025-08-05,Second Class,Home Office,Middle East,Gadgets,Phone Case MagSafe,1362,7,140
ORD-000247,2024-10-10,Same Day,Education,Middle East,Office Supplies,Bluetooth Speaker,1936,3,694
ORD-000248,2025-12-29,Second Class,Government,Middle East,Accessories,"Laptop Pro 14""",1992,5,544
ORD-000249,2024-10-02,First Class,Consumer,South America,Gadgets,4K Webcam,311,4,89
ORD-000250,2025-12-25,Second Class,Education,North America,Gadgets,Wireless Noise Cancelling Headphones,804,2,288
ORD-000251,2024-04-12,Same Day,Home Office,Asia Pacific,Gadgets,Wireless Charger Pad,943,8,281
ORD-000252,2024-11-05,Same Day,Small Business,Europe,Office Supplies,Laptop Cooling Stand,1719,3,667
ORD-000253,2025-06-28,Standard Class,Consumer,Middle East,Furniture,Wireless Noise Cancelling Headphones,423,1,157
ORD-000254,2024-11-19,First Class,Small Business,Middle East,Office Supplies,Laptop Cooling Stand,1980,4,417
ORD-000255,2025-09-14,First Class,Consumer,South America,Office Supplies,Gaming Mouse RGB,1635,8,249
ORD-000256,2025-09-25,Second Class,Consumer,South America,Furniture,"Monitor 27"" 4K",301,6,81
ORD-000257,2025-12-02,Express,Consumer,Africa,Office Supplies,Phone Case MagSafe,266,4,97
ORD-000258,2024-09-20,Express,Small Business,Asia Pacific,Electronics,"Laptop Pro 14""",736,5,62
ORD-000259,2025-08-25,Second Class,Home Office,Europe,Accessories,"Tablet Air 11""",2389,5,486
ORD-000260,2025-09-28,Express,Education,Asia Pacific,Gadgets,Smart Watch Series 5,474,2,163
ORD-000261,2025-12-14,Standard Class,Corporate,Middle East,Gadgets,Gaming Mouse RGB,1017,2,268
ORD-000262,2025-02-07,Same Day,Government,Middle East,Gadgets,"Monitor 27"" 4K",1499,4,339
ORD-000263,2025-05-17,Same Day,Government,Asia Pacific,Electronics,Smart Home Hub,883,7,141
ORD-000264,2025-03-03,Standard Class,Government,Middle East,Electronics,4K Webcam,2078,2,196
ORD-000265,2025-06-21,Second Class,Home Office,Africa,Gadgets,Privacy Screen Protector,2257,5,783
ORD-000266,2024-05-16,Second Class,Small Business,Middle East,Electronics,Privacy Screen Protector,230,8,37
ORD-000267,2024-12-15,First Class,Consumer,Africa,Furniture,Smartphone Ultra,1763,5,528
ORD-000268,2024-01-29,Second Class,Small Business,South America,Gadgets,Smart Home Hub,1979,2,723
ORD-000269,2025-10-23,Express,Consumer,North America,Furniture,4K Webcam,1384,7,376
ORD-000270,2024-11-15,Standard Class,Education,Asia Pacific,Electronics,Smartphone Ultra,875,8,221
ORD-000271,2024-09-11,Second Class,Consumer,South America,Gadgets,Privacy Screen Protector,1841,7,416
ORD-000272,2025-06-09,Same Day,Education,North America,Gadgets,Phone Case MagSafe,118,1,13
ORD-000273,2024-12-09,Same Day,Consumer,South America,Electronics,Smart Home Hub,1369,1,303
ORD-000274,2025-05-21,First Class,Small Business,North America,Accessories,Smartphone Ultra,103,8,21
ORD-000275,2025-07-23,Express,Education,South America,Accessories,"Monitor 27"" 4K",2093,4,246
